timestamp, index, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB]
2026/01/22 10:00:08.376, 0, NVIDIA A100-SXM4-40GB, 7 %, 2 %, 796 MiB, 40960 MiB
2026/01/22 10:01:08.376, 0, NVIDIA A100-SXM4-40GB, 5 %, 3 %, 1092 MiB, 40960 MiB
2026/01/22 10:02:08.376, 0, NVIDIA A100-SXM4-40GB, 3 %, 2 %, 835 MiB, 40960 MiB
2026/01/22 10:03:08.376, 0, NVIDIA A100-SXM4-40GB, 7 %, 2 %, 1012 MiB, 40960 MiB
2026/01/22 10:04:08.376, 0, NVIDIA A100-SXM4-40GB, 7 %, 3 %, 1092 MiB, 40960 MiB
2026/01/22 10:05:08.376, 0, NVIDIA A100-SXM4-40GB, 4 %, 2 %, 869 MiB, 40960 MiB
2026/01/22 10:06:08.376, 0, NVIDIA A100-SXM4-40GB, 5 %, 2 %, 1003 MiB, 40960 MiB
2026/01/22 10:07:08.376, 0, NVIDIA A100-SXM4-40GB, 3 %, 2 %, 865 MiB, 40960 MiB
2026/01/22 10:08:08.376, 0, NVIDIA A100-SXM4-40GB, 7 %, 2 %, 845 MiB, 40960 MiB
2026/01/22 10:09:08.376, 0, NVIDIA A100-SXM4-40GB, 5 %, 2 %, 997 MiB, 40960 MiB
2026/01/22 10:10:08.376, 0, NVIDIA A100-SXM4-40GB, 5 %, 2 %, 1015 MiB, 40960 MiB
2026/01/22 10:11:08.376, 0, NVIDIA A100-SXM4-40GB, 3 %, 2 %, 964 MiB, 40960 MiB
2026/01/22 10:12:08.376, 0, NVIDIA A100-SXM4-40GB, 6 %, 3 %, 1035 MiB, 40960 MiB
2026/01/22 10:13:08.376, 0, NVIDIA A100-SXM4-40GB, 6 %, 2 %, 1015 MiB, 40960 MiB
2026/01/22 10:14:08.376, 0, NVIDIA A100-SXM4-40GB, 2 %, 2 %, 976 MiB, 40960 MiB
2026/01/22 10:15:08.376, 0, NVIDIA A100-SXM4-40GB, 6 %, 3 %, 1242 MiB, 40960 MiB
2026/01/22 10:16:08.376, 0, NVIDIA A100-SXM4-40GB, 6 %, 2 %, 850 MiB, 40960 MiB
2026/01/22 10:17:08.376, 0, NVIDIA A100-SXM4-40GB, 5 %, 2 %, 778 MiB, 40960 MiB
2026/01/22 10:18:08.376, 0, NVIDIA A100-SXM4-40GB, 4 %, 3 %, 1101 MiB, 40960 MiB
2026/01/22 10:19:08.376, 0, NVIDIA A100-SXM4-40GB, 6 %, 2 %, 841 MiB, 40960 MiB
2026/01/22 10:20:08.376, 0, NVIDIA A100-SXM4-40GB, 4 %, 3 %, 1051 MiB, 40960 MiB
2026/01/22 10:21:08.376, 0, NVIDIA A100-SXM4-40GB, 5 %, 3 %, 1062 MiB, 40960 MiB
2026/01/22 10:22:08.376, 0, NVIDIA A100-SXM4-40GB, 5 %, 3 %, 1377 MiB, 40960 MiB
2026/01/22 10:23:08.376, 0, NVIDIA A100-SXM4-40GB, 7 %, 3 %, 1147 MiB, 40960 MiB
2026/01/22 10:24:08.376, 0, NVIDIA A100-SXM4-40GB, 3 %, 3 %, 1134 MiB, 40960 MiB
2026/01/22 10:25:08.376, 0, NVIDIA A100-SXM4-40GB, 4 %, 2 %, 945 MiB, 40960 MiB
2026/01/22 10:26:08.376, 0, NVIDIA A100-SXM4-40GB, 4 %, 3 %, 1088 MiB, 40960 MiB
2026/01/22 10:27:08.376, 0, NVIDIA A100-SXM4-40GB, 4 %, 2 %, 867 MiB, 40960 MiB
2026/01/22 10:28:08.376, 0, NVIDIA A100-SXM4-40GB, 4 %, 3 %, 1094 MiB, 40960 MiB
2026/01/22 10:29:08.376, 0, NVIDIA A100-SXM4-40GB, 5 %, 3 %, 1210 MiB, 40960 MiB
2026/01/22 10:30:08.376, 0, NVIDIA A100-SXM4-40GB, 5 %, 2 %, 1007 MiB, 40960 MiB
2026/01/22 10:31:08.376, 0, NVIDIA A100-SXM4-40GB, 5 %, 2 %, 973 MiB, 40960 MiB
2026/01/22 10:32:08.376, 0, NVIDIA A100-SXM4-40GB, 6 %, 2 %, 805 MiB, 40960 MiB
2026/01/22 10:33:08.376, 0, NVIDIA A100-SXM4-40GB, 5 %, 2 %, 907 MiB, 40960 MiB
2026/01/22 10:34:08.376, 0, NVIDIA A100-SXM4-40GB, 3 %, 2 %, 965 MiB, 40960 MiB
2026/01/22 10:35:08.376, 0, NVIDIA A100-SXM4-40GB, 4 %, 2 %, 792 MiB, 40960 MiB
2026/01/22 10:36:08.376, 0, NVIDIA A100-SXM4-40GB, 3 %, 2 %, 847 MiB, 40960 MiB
2026/01/22 10:37:08.376, 0, NVIDIA A100-SXM4-40GB, 4 %, 2 %, 952 MiB, 40960 MiB
2026/01/22 10:38:08.376, 0, NVIDIA A100-SXM4-40GB, 5 %, 3 %, 1046 MiB, 40960 MiB
2026/01/22 10:39:08.376, 0, NVIDIA A100-SXM4-40GB, 5 %, 2 %, 838 MiB, 40960 MiB
2026/01/22 10:40:08.376, 0, NVIDIA A100-SXM4-40GB, 3 %, 2 %, 924 MiB, 40960 MiB
2026/01/22 10:41:08.376, 0, NVIDIA A100-SXM4-40GB, 4 %, 2 %, 904 MiB, 40960 MiB
2026/01/22 10:42:08.376, 0, NVIDIA A100-SXM4-40GB, 4 %, 2 %, 901 MiB, 40960 MiB
2026/01/22 10:43:08.376, 0, NVIDIA A100-SXM4-40GB, 4 %, 2 %, 758 MiB, 40960 MiB
2026/01/22 10:44:08.376, 0, NVIDIA A100-SXM4-40GB, 5 %, 2 %, 901 MiB, 40960 MiB
2026/01/22 10:45:08.376, 0, NVIDIA A100-SXM4-40GB, 5 %, 2 %, 822 MiB, 40960 MiB
2026/01/22 10:46:08.376, 0, NVIDIA A100-SXM4-40GB, 5 %, 2 %, 771 MiB, 40960 MiB
2026/01/22 10:47:08.376, 0, NVIDIA A100-SXM4-40GB, 4 %, 3 %, 1106 MiB, 40960 MiB
2026/01/22 10:48:08.376, 0, NVIDIA A100-SXM4-40GB, 4 %, 3 %, 1072 MiB, 40960 MiB
2026/01/22 10:49:08.376, 0, NVIDIA A100-SXM4-40GB, 4 %, 3 %, 1127 MiB, 40960 MiB
2026/01/22 10:50:08.376, 0, NVIDIA A100-SXM4-40GB, 5 %, 2 %, 743 MiB, 40960 MiB
2026/01/22 10:51:08.376, 0, NVIDIA A100-SXM4-40GB, 5 %, 3 %, 1079 MiB, 40960 MiB
2026/01/22 10:52:08.376, 0, NVIDIA A100-SXM4-40GB, 4 %, 2 %, 1009 MiB, 40960 MiB
2026/01/22 10:53:08.376, 0, NVIDIA A100-SXM4-40GB, 5 %, 2 %, 826 MiB, 40960 MiB
2026/01/22 10:54:08.376, 0, NVIDIA A100-SXM4-40GB, 3 %, 2 %, 850 MiB, 40960 MiB
2026/01/22 10:55:08.376, 0, NVIDIA A100-SXM4-40GB, 3 %, 2 %, 717 MiB, 40960 MiB
2026/01/22 10:56:08.376, 0, NVIDIA A100-SXM4-40GB, 5 %, 2 %, 953 MiB, 40960 MiB
2026/01/22 10:57:08.376, 0, NVIDIA A100-SXM4-40GB, 5 %, 2 %, 675 MiB, 40960 MiB
2026/01/22 10:58:08.376, 0, NVIDIA A100-SXM4-40GB, 4 %, 3 %, 1184 MiB, 40960 MiB
2026/01/22 10:59:08.376, 0, NVIDIA A100-SXM4-40GB, 5 %, 3 %, 1213 MiB, 40960 MiB
2026/01/22 11:00:08.376, 0, NVIDIA A100-SXM4-40GB, 3 %, 2 %, 1003 MiB, 40960 MiB
2026/01/22 11:01:08.376, 0, NVIDIA A100-SXM4-40GB, 4 %, 2 %, 864 MiB, 40960 MiB
2026/01/22 11:02:08.376, 0, NVIDIA A100-SXM4-40GB, 4 %, 3 %, 1053 MiB, 40960 MiB
2026/01/22 11:03:08.376, 0, NVIDIA A100-SXM4-40GB, 5 %, 2 %, 975 MiB, 40960 MiB
2026/01/22 11:04:08.376, 0, NVIDIA A100-SXM4-40GB, 3 %, 3 %, 1032 MiB, 40960 MiB
2026/01/22 11:05:08.376, 0, NVIDIA A100-SXM4-40GB, 4 %, 3 %, 1032 MiB, 40960 MiB
2026/01/22 11:06:08.376, 0, NVIDIA A100-SXM4-40GB, 4 %, 2 %, 897 MiB, 40960 MiB
2026/01/22 11:07:08.376, 0, NVIDIA A100-SXM4-40GB, 7 %, 2 %, 736 MiB, 40960 MiB
2026/01/22 11:08:08.376, 0, NVIDIA A100-SXM4-40GB, 4 %, 2 %, 863 MiB, 40960 MiB
2026/01/22 11:09:08.376, 0, NVIDIA A100-SXM4-40GB, 5 %, 2 %, 763 MiB, 40960 MiB
2026/01/22 11:10:08.376, 0, NVIDIA A100-SXM4-40GB, 5 %, 2 %, 820 MiB, 40960 MiB
2026/01/22 11:11:08.376, 0, NVIDIA A100-SXM4-40GB, 3 %, 3 %, 1036 MiB, 40960 MiB
2026/01/22 11:12:08.376, 0, NVIDIA A100-SXM4-40GB, 5 %, 2 %, 939 MiB, 40960 MiB
2026/01/22 11:13:08.376, 0, NVIDIA A100-SXM4-40GB, 6 %, 3 %, 1064 MiB, 40960 MiB
2026/01/22 11:14:08.376, 0, NVIDIA A100-SXM4-40GB, 5 %, 2 %, 932 MiB, 40960 MiB
2026/01/22 11:15:08.376, 0, NVIDIA A100-SXM4-40GB, 5 %, 2 %, 915 MiB, 40960 MiB
2026/01/22 11:16:08.376, 0, NVIDIA A100-SXM4-40GB, 4 %, 3 %, 1035 MiB, 40960 MiB
2026/01/22 11:17:08.376, 0, NVIDIA A100-SXM4-40GB, 5 %, 3 %, 1060 MiB, 40960 MiB
2026/01/22 11:18:08.376, 0, NVIDIA A100-SXM4-40GB, 4 %, 2 %, 969 MiB, 40960 MiB
2026/01/22 11:19:08.376, 0, NVIDIA A100-SXM4-40GB, 3 %, 2 %, 947 MiB, 40960 MiB
2026/01/22 11:20:08.376, 0, NVIDIA A100-SXM4-40GB, 4 %, 2 %, 988 MiB, 40960 MiB
2026/01/22 11:21:08.376, 0, NVIDIA A100-SXM4-40GB, 4 %, 2 %, 862 MiB, 40960 MiB
2026/01/22 11:22:08.376, 0, NVIDIA A100-SXM4-40GB, 6 %, 3 %, 1055 MiB, 40960 MiB
2026/01/22 11:23:08.376, 0, NVIDIA A100-SXM4-40GB, 5 %, 2 %, 997 MiB, 40960 MiB
2026/01/22 11:24:08.376, 0, NVIDIA A100-SXM4-40GB, 4 %, 2 %, 882 MiB, 40960 MiB
2026/01/22 11:25:08.376, 0, NVIDIA A100-SXM4-40GB, 7 %, 3 %, 1065 MiB, 40960 MiB
2026/01/22 11:26:08.376, 0, NVIDIA A100-SXM4-40GB, 6 %, 2 %, 973 MiB, 40960 MiB
2026/01/22 11:27:08.376, 0, NVIDIA A100-SXM4-40GB, 5 %, 2 %, 749 MiB, 40960 MiB
2026/01/22 11:28:08.376, 0, NVIDIA A100-SXM4-40GB, 4 %, 3 %, 1069 MiB, 40960 MiB
2026/01/22 11:29:08.376, 0, NVIDIA A100-SXM4-40GB, 4 %, 2 %, 768 MiB, 40960 MiB
2026/01/22 11:30:08.376, 0, NVIDIA A100-SXM4-40GB, 4 %, 3 %, 1120 MiB, 40960 MiB
2026/01/22 11:31:08.376, 0, NVIDIA A100-SXM4-40GB, 5 %, 2 %, 880 MiB, 40960 MiB
