timestamp, index, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB]
2026/01/22 10:01:27.399, 0, NVIDIA A100-SXM4-40GB, 5 %, 4 %, 1786 MiB, 40960 MiB
2026/01/22 10:02:27.399, 0, NVIDIA A100-SXM4-40GB, 5 %, 5 %, 1946 MiB, 40960 MiB
2026/01/22 10:03:27.399, 0, NVIDIA A100-SXM4-40GB, 5 %, 5 %, 2057 MiB, 40960 MiB
2026/01/22 10:04:27.399, 0, NVIDIA A100-SXM4-40GB, 6 %, 6 %, 2309 MiB, 40960 MiB
2026/01/22 10:05:27.399, 0, NVIDIA A100-SXM4-40GB, 5 %, 6 %, 2530 MiB, 40960 MiB
2026/01/22 10:06:27.399, 0, NVIDIA A100-SXM4-40GB, 5 %, 5 %, 2102 MiB, 40960 MiB
2026/01/22 10:07:27.399, 0, NVIDIA A100-SXM4-40GB, 4 %, 6 %, 2405 MiB, 40960 MiB
2026/01/22 10:08:27.399, 0, NVIDIA A100-SXM4-40GB, 6 %, 6 %, 2475 MiB, 40960 MiB
2026/01/22 10:09:27.399, 0, NVIDIA A100-SXM4-40GB, 4 %, 6 %, 2640 MiB, 40960 MiB
2026/01/22 10:10:27.399, 0, NVIDIA A100-SXM4-40GB, 6 %, 6 %, 2528 MiB, 40960 MiB
2026/01/22 10:11:27.399, 0, NVIDIA A100-SXM4-40GB, 4 %, 5 %, 2014 MiB, 40960 MiB
2026/01/22 10:12:27.399, 0, NVIDIA A100-SXM4-40GB, 4 %, 7 %, 2691 MiB, 40960 MiB
2026/01/22 10:13:27.399, 0, NVIDIA A100-SXM4-40GB, 5 %, 5 %, 2064 MiB, 40960 MiB
2026/01/22 10:14:27.399, 0, NVIDIA A100-SXM4-40GB, 5 %, 5 %, 2089 MiB, 40960 MiB
2026/01/22 10:15:27.399, 0, NVIDIA A100-SXM4-40GB, 5 %, 6 %, 2297 MiB, 40960 MiB
2026/01/22 10:16:27.399, 0, NVIDIA A100-SXM4-40GB, 5 %, 5 %, 2186 MiB, 40960 MiB
2026/01/22 10:17:27.399, 0, NVIDIA A100-SXM4-40GB, 4 %, 6 %, 2335 MiB, 40960 MiB
2026/01/22 10:18:27.399, 0, NVIDIA A100-SXM4-40GB, 5 %, 5 %, 1893 MiB, 40960 MiB
2026/01/22 10:19:27.399, 0, NVIDIA A100-SXM4-40GB, 6 %, 5 %, 1949 MiB, 40960 MiB
2026/01/22 10:20:27.399, 0, NVIDIA A100-SXM4-40GB, 4 %, 6 %, 2339 MiB, 40960 MiB
2026/01/22 10:21:27.399, 0, NVIDIA A100-SXM4-40GB, 5 %, 4 %, 1702 MiB, 40960 MiB
2026/01/22 10:22:27.399, 0, NVIDIA A100-SXM4-40GB, 7 %, 6 %, 2590 MiB, 40960 MiB
2026/01/22 10:23:27.399, 0, NVIDIA A100-SXM4-40GB, 4 %, 5 %, 2133 MiB, 40960 MiB
2026/01/22 10:24:27.399, 0, NVIDIA A100-SXM4-40GB, 4 %, 5 %, 1883 MiB, 40960 MiB
2026/01/22 10:25:27.399, 0, NVIDIA A100-SXM4-40GB, 6 %, 5 %, 2062 MiB, 40960 MiB
2026/01/22 10:26:27.399, 0, NVIDIA A100-SXM4-40GB, 5 %, 7 %, 2800 MiB, 40960 MiB
2026/01/22 10:27:27.399, 0, NVIDIA A100-SXM4-40GB, 4 %, 6 %, 2529 MiB, 40960 MiB
2026/01/22 10:28:27.399, 0, NVIDIA A100-SXM4-40GB, 4 %, 6 %, 2529 MiB, 40960 MiB
2026/01/22 10:29:27.399, 0, NVIDIA A100-SXM4-40GB, 5 %, 5 %, 2219 MiB, 40960 MiB
2026/01/22 10:30:27.399, 0, NVIDIA A100-SXM4-40GB, 6 %, 5 %, 2028 MiB, 40960 MiB
2026/01/22 10:31:27.399, 0, NVIDIA A100-SXM4-40GB, 4 %, 8 %, 3348 MiB, 40960 MiB
2026/01/22 10:32:27.399, 0, NVIDIA A100-SXM4-40GB, 5 %, 6 %, 2581 MiB, 40960 MiB
2026/01/22 10:33:27.399, 0, NVIDIA A100-SXM4-40GB, 4 %, 4 %, 1820 MiB, 40960 MiB
2026/01/22 10:34:27.399, 0, NVIDIA A100-SXM4-40GB, 2 %, 5 %, 1907 MiB, 40960 MiB
2026/01/22 10:35:27.399, 0, NVIDIA A100-SXM4-40GB, 5 %, 6 %, 2458 MiB, 40960 MiB
2026/01/22 10:36:27.399, 0, NVIDIA A100-SXM4-40GB, 4 %, 6 %, 2502 MiB, 40960 MiB
2026/01/22 10:37:27.399, 0, NVIDIA A100-SXM4-40GB, 5 %, 5 %, 2011 MiB, 40960 MiB
2026/01/22 10:38:27.399, 0, NVIDIA A100-SXM4-40GB, 4 %, 7 %, 2745 MiB, 40960 MiB
2026/01/22 10:39:27.399, 0, NVIDIA A100-SXM4-40GB, 5 %, 6 %, 2639 MiB, 40960 MiB
2026/01/22 10:40:27.399, 0, NVIDIA A100-SXM4-40GB, 5 %, 5 %, 1994 MiB, 40960 MiB
2026/01/22 10:41:27.399, 0, NVIDIA A100-SXM4-40GB, 6 %, 6 %, 2594 MiB, 40960 MiB
2026/01/22 10:42:27.399, 0, NVIDIA A100-SXM4-40GB, 2 %, 4 %, 1522 MiB, 40960 MiB
2026/01/22 10:43:27.399, 0, NVIDIA A100-SXM4-40GB, 6 %, 6 %, 2340 MiB, 40960 MiB
2026/01/22 10:44:27.399, 0, NVIDIA A100-SXM4-40GB, 4 %, 4 %, 1804 MiB, 40960 MiB
2026/01/22 10:45:27.399, 0, NVIDIA A100-SXM4-40GB, 4 %, 6 %, 2387 MiB, 40960 MiB
2026/01/22 10:46:27.399, 0, NVIDIA A100-SXM4-40GB, 6 %, 4 %, 1683 MiB, 40960 MiB
2026/01/22 10:47:27.399, 0, NVIDIA A100-SXM4-40GB, 6 %, 4 %, 1810 MiB, 40960 MiB
2026/01/22 10:48:27.399, 0, NVIDIA A100-SXM4-40GB, 4 %, 5 %, 1873 MiB, 40960 MiB
2026/01/22 10:49:27.399, 0, NVIDIA A100-SXM4-40GB, 5 %, 7 %, 2770 MiB, 40960 MiB
2026/01/22 10:50:27.399, 0, NVIDIA A100-SXM4-40GB, 5 %, 7 %, 2818 MiB, 40960 MiB
2026/01/22 10:51:27.399, 0, NVIDIA A100-SXM4-40GB, 5 %, 5 %, 1999 MiB, 40960 MiB
2026/01/22 10:52:27.399, 0, NVIDIA A100-SXM4-40GB, 4 %, 6 %, 2396 MiB, 40960 MiB
2026/01/22 10:53:27.399, 0, NVIDIA A100-SXM4-40GB, 5 %, 6 %, 2645 MiB, 40960 MiB
2026/01/22 10:54:27.399, 0, NVIDIA A100-SXM4-40GB, 6 %, 5 %, 1867 MiB, 40960 MiB
2026/01/22 10:55:27.399, 0, NVIDIA A100-SXM4-40GB, 5 %, 7 %, 2673 MiB, 40960 MiB
2026/01/22 10:56:27.399, 0, NVIDIA A100-SXM4-40GB, 5 %, 6 %, 2534 MiB, 40960 MiB
2026/01/22 10:57:27.399, 0, NVIDIA A100-SXM4-40GB, 6 %, 5 %, 1977 MiB, 40960 MiB
