timestamp, index, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB]
2026/01/22 10:51:34.554, 0, NVIDIA A100-SXM4-40GB, 5 %, 2 %, 998 MiB, 40960 MiB
2026/01/22 10:52:34.554, 0, NVIDIA A100-SXM4-40GB, 4 %, 2 %, 862 MiB, 40960 MiB
2026/01/22 10:53:34.554, 0, NVIDIA A100-SXM4-40GB, 5 %, 2 %, 793 MiB, 40960 MiB
2026/01/22 10:54:34.554, 0, NVIDIA A100-SXM4-40GB, 3 %, 2 %, 717 MiB, 40960 MiB
2026/01/22 10:55:34.554, 0, NVIDIA A100-SXM4-40GB, 6 %, 2 %, 869 MiB, 40960 MiB
2026/01/22 10:56:34.554, 0, NVIDIA A100-SXM4-40GB, 4 %, 2 %, 848 MiB, 40960 MiB
2026/01/22 10:57:34.554, 0, NVIDIA A100-SXM4-40GB, 6 %, 3 %, 1044 MiB, 40960 MiB
2026/01/22 10:58:34.554, 0, NVIDIA A100-SXM4-40GB, 6 %, 3 %, 1290 MiB, 40960 MiB
2026/01/22 10:59:34.554, 0, NVIDIA A100-SXM4-40GB, 5 %, 3 %, 1051 MiB, 40960 MiB
2026/01/22 11:00:34.554, 0, NVIDIA A100-SXM4-40GB, 4 %, 2 %, 995 MiB, 40960 MiB
2026/01/22 11:01:34.554, 0, NVIDIA A100-SXM4-40GB, 6 %, 2 %, 1008 MiB, 40960 MiB
2026/01/22 11:02:34.554, 0, NVIDIA A100-SXM4-40GB, 4 %, 3 %, 1100 MiB, 40960 MiB
2026/01/22 11:03:34.554, 0, NVIDIA A100-SXM4-40GB, 5 %, 3 %, 1028 MiB, 40960 MiB
2026/01/22 11:04:34.554, 0, NVIDIA A100-SXM4-40GB, 3 %, 2 %, 893 MiB, 40960 MiB
2026/01/22 11:05:34.554, 0, NVIDIA A100-SXM4-40GB, 5 %, 2 %, 890 MiB, 40960 MiB
2026/01/22 11:06:34.554, 0, NVIDIA A100-SXM4-40GB, 5 %, 2 %, 989 MiB, 40960 MiB
2026/01/22 11:07:34.554, 0, NVIDIA A100-SXM4-40GB, 5 %, 2 %, 992 MiB, 40960 MiB
2026/01/22 11:08:34.554, 0, NVIDIA A100-SXM4-40GB, 5 %, 2 %, 819 MiB, 40960 MiB
2026/01/22 11:09:34.554, 0, NVIDIA A100-SXM4-40GB, 4 %, 2 %, 957 MiB, 40960 MiB
